"Wed Nov 23 14:13:33 2016",,,,"Spectrum:  PV258_2.MCA",,,,"Logfile:  PV258_2.LOG"
"PV258_2.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-19-2013",,"07:55:46:000",,
"Elapsed Live Time:",,18000.00,"sec",,"Elapsed True Time:",,18000.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
  140.612,  0.073,   521.215,  0.272,   1.1,    2.0,        39,      7,  3.255,  0.575,   3.414,  0.685,       172,     29,  0.600,  0.005,  1.000,  0.000,     58.123,      2.625,   0.043,  0.117,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8693,   8729,      59
  162.906,  0.061,   603.773,  0.226,   1.2,    2.0,        61,      9,  3.436,  0.511,   3.436,  0.593,       222,     32,  0.260,  1.462,  0.169,  9.021,     60.950,      2.387,  -0.161,  0.113,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   8776,   8812,      58
  228.511,  0.057,   846.721,  0.213,   1.1,    2.0,        51,      6,  3.744,  0.497,   3.925,  0.582,       255,     27,  0.600,  0.000,  1.000,  0.000,     46.070,      2.449,  -0.042,  0.109,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9019,   9055,      45
  277.881,  0.044,  1029.543,  0.162,   1.1,    2.0,        60,      6,  3.543,  0.354,   3.715,  0.424,       286,     29,  0.600,  0.001,  1.000,  0.000,     37.840,      1.849,  -0.110,  0.083,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9202,   9238,      36
  320.308,  0.022,  1186.659,  0.080,   0.9,    2.0,       181,     12,  4.192,  0.169,   4.192,  0.241,       808,     40,  0.290,  0.283,  0.222,  2.945,     36.791,      1.754,  -0.159,  0.081,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9359,   9395,      34
  329.057,  0.050,  1219.059,  0.185,   0.6,    2.1,        84,      9,  3.948,  0.305,   4.100,  0.405,       431,     26,  0.491,  0.455,  1.000,  0.001,     32.367,      1.493,  -0.057,  0.064,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9392,   9427,      31
  364.712,  0.038,  1351.092,  0.139,   0.9,    2.0,       129,     10,  4.265,  0.251,   4.265,  0.315,       616,     32,  0.111,  0.253,  1.000,  0.013,     25.046,      1.746,   0.042,  0.075,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9523,   9559,      26
  487.119,  0.050,  1804.385,  0.184,   1.1,    2.0,       127,     18,  4.290,  0.268,   4.290,  0.438,       595,     29,  0.600,  0.009,  0.380,  0.630,     17.934,      1.492,   0.016,  0.069,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   9976,  10012,      18
  537.382,  0.051,  1990.515,  0.188,   1.4,    2.0,        63,      6,  4.615,  0.349,   4.615,  0.435,       309,     26,  0.276,  0.376,  0.169,  5.753,     15.102,      1.387,   0.026,  0.061,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  10163,  10199,      16
  564.128,  0.102,  2089.559,  0.378,   0.9,    2.0,        23,      8,  3.501,  0.000,   3.540,  0.695,        96,     18,  0.268,  1.720,  0.889,  1.395,     15.043,      1.308,   0.008,  0.059,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  10262,  10298,      15
